epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1388,1.26164,2.30946,1.2831,0.74363,0.56001,0.72738,0.47118,1.26924,2.5981,1.15995,0.000546557,0.000546557,0.000546557
2,91.8223,1.26605,1.55736,1.19794,0.77919,0.66218,0.70707,0.45325,1.32816,2.02502,1.23145,0.0010804,0.0010804,0.0010804
3,142.455,1.24364,1.40009,1.17377,0.74452,0.62767,0.7008,0.41313,1.41464,2.10762,1.26184,0.00159224,0.00159224,0.00159224
4,196.413,1.26561,1.24424,1.20452,0.62517,0.58872,0.63277,0.41962,1.25702,1.82188,1.19676,0.00156798,0.00156798,0.00156798
5,244.266,1.23674,1.1375,1.18817,0.77862,0.78822,0.79892,0.52122,1.27049,1.25517,1.17047,0.00153497,0.00153497,0.00153497
6,292.807,1.20729,1.07071,1.17987,0.70036,0.67357,0.72678,0.45621,1.39645,1.49375,1.25612,0.00150197,0.00150197,0.00150197
7,344.925,1.18905,0.98288,1.15621,0.8844,0.76874,0.86331,0.56596,1.21924,0.96953,1.14696,0.00146896,0.00146896,0.00146896
8,392.74,1.15389,0.90274,1.14659,0.84416,0.73398,0.82463,0.53576,1.27274,0.98935,1.19099,0.00143595,0.00143595,0.00143595
9,440.98,1.15956,0.86805,1.1505,0.87985,0.66877,0.77044,0.47716,1.31155,1.14724,1.21778,0.00140295,0.00140295,0.00140295
10,488.62,1.15144,0.83014,1.14496,0.88643,0.76001,0.82238,0.55161,1.2583,0.84785,1.18396,0.00136994,0.00136994,0.00136994
11,540.211,1.15998,0.83264,1.15518,0.85587,0.78448,0.85781,0.57465,1.19483,0.83977,1.13405,0.00133693,0.00133693,0.00133693
12,591.351,1.13257,0.80272,1.13558,0.86795,0.74699,0.82825,0.56159,1.17629,0.8904,1.12706,0.00130393,0.00130393,0.00130393
13,636.513,1.08244,0.73275,1.12147,0.89655,0.73543,0.84069,0.56433,1.23361,0.78876,1.18433,0.00127092,0.00127092,0.00127092
14,687.096,1.10471,0.73136,1.12064,0.82349,0.76888,0.82818,0.56946,1.16807,0.89245,1.13898,0.00123791,0.00123791,0.00123791
15,733.525,1.10593,0.72105,1.1239,0.84223,0.75286,0.83223,0.56728,1.16889,0.816,1.13775,0.00120491,0.00120491,0.00120491
16,783.988,1.07161,0.70691,1.10992,0.85948,0.77936,0.8362,0.56148,1.21582,0.81311,1.1477,0.0011719,0.0011719,0.0011719
17,829.522,1.10173,0.66246,1.11943,0.86746,0.77811,0.84145,0.5715,1.18082,0.78625,1.1399,0.00113889,0.00113889,0.00113889
18,879.965,1.07394,0.66486,1.10559,0.89217,0.76413,0.85262,0.5721,1.17386,0.73809,1.12197,0.00110589,0.00110589,0.00110589
19,929.931,1.05704,0.66051,1.09902,0.7641,0.78852,0.84939,0.57034,1.19335,0.86138,1.13518,0.00107288,0.00107288,0.00107288
20,974.789,1.07089,0.67197,1.11325,0.84917,0.80198,0.84858,0.57538,1.19968,0.74602,1.13272,0.00103987,0.00103987,0.00103987
21,1024.95,1.05982,0.6683,1.1141,0.90515,0.77911,0.89457,0.59086,1.18798,0.67426,1.13373,0.00100687,0.00100687,0.00100687
22,1075.39,1.06684,0.6427,1.11018,0.85586,0.76287,0.86335,0.58424,1.17994,0.76717,1.11023,0.000973861,0.000973861,0.000973861
23,1120.82,1.05764,0.63141,1.09995,0.92186,0.78448,0.89556,0.61346,1.15646,0.66377,1.11913,0.000940855,0.000940855,0.000940855
24,1170.71,1.03473,0.62197,1.10773,0.87207,0.79198,0.83251,0.57411,1.18597,0.73588,1.12841,0.000907848,0.000907848,0.000907848
25,1215.92,1.0422,0.60475,1.09314,0.85775,0.80772,0.83474,0.5818,1.18399,0.73864,1.12727,0.000874842,0.000874842,0.000874842
26,1266.14,1.02156,0.59252,1.0805,0.89827,0.77551,0.87734,0.58889,1.20224,0.71361,1.13008,0.000841835,0.000841835,0.000841835
27,1311.34,1.02518,0.57223,1.08016,0.87888,0.74664,0.87022,0.588,1.16859,0.77864,1.10598,0.000808828,0.000808828,0.000808828
28,1361.21,1.00188,0.59243,1.0829,0.89505,0.82124,0.89944,0.59584,1.19063,0.65388,1.12865,0.000775822,0.000775822,0.000775822
29,1406.19,0.99267,0.54907,1.07368,0.83386,0.82269,0.89575,0.60851,1.16882,0.66739,1.12553,0.000742815,0.000742815,0.000742815
30,1451.47,0.98449,0.55178,1.08037,0.90167,0.78436,0.89982,0.61018,1.15476,0.6315,1.11771,0.000709809,0.000709809,0.000709809
31,1497.59,0.95543,0.53062,1.05937,0.8484,0.84787,0.8911,0.61024,1.14349,0.64544,1.13205,0.000676802,0.000676802,0.000676802
32,1547.97,0.96241,0.5326,1.06677,0.84757,0.85521,0.88249,0.60183,1.14518,0.65987,1.12907,0.000643795,0.000643795,0.000643795
33,1593.88,0.97764,0.51625,1.06764,0.87931,0.81232,0.87219,0.59897,1.17529,0.6612,1.13231,0.000610789,0.000610789,0.000610789
34,1644.42,0.96378,0.52475,1.06489,0.85519,0.82236,0.87723,0.60152,1.14808,0.72813,1.1127,0.000577782,0.000577782,0.000577782
35,1695.56,0.93978,0.5005,1.05284,0.91589,0.78706,0.86921,0.60121,1.13979,0.71234,1.11456,0.000544776,0.000544776,0.000544776
36,1745.94,0.93055,0.50633,1.05453,0.86898,0.85622,0.8894,0.61638,1.13486,0.62208,1.12006,0.000511769,0.000511769,0.000511769
37,1791.61,0.92767,0.49414,1.03289,0.86904,0.84005,0.90093,0.60675,1.15183,0.63236,1.12807,0.000478762,0.000478762,0.000478762
38,1837.25,0.92206,0.47434,1.05055,0.88955,0.77981,0.87666,0.59492,1.16422,0.67015,1.12542,0.000445756,0.000445756,0.000445756
39,1883.25,0.93064,0.48994,1.04777,0.90675,0.7794,0.88924,0.60395,1.16028,0.64032,1.12199,0.000412749,0.000412749,0.000412749
40,1928.93,0.91797,0.48652,1.04445,0.8758,0.81969,0.88674,0.61373,1.14619,0.62688,1.11319,0.000379743,0.000379743,0.000379743
41,2048.04,0.86298,0.40775,1.00679,0.8974,0.8002,0.87022,0.60227,1.13694,0.67334,1.1142,0.000346736,0.000346736,0.000346736
42,2097.39,0.87442,0.40519,1.01126,0.91744,0.79547,0.88041,0.60554,1.12876,0.6593,1.10561,0.000313729,0.000313729,0.000313729
43,2146.94,0.85456,0.39687,1.01264,0.93294,0.77963,0.87524,0.59874,1.16063,0.64212,1.12496,0.000280723,0.000280723,0.000280723
44,2191.8,0.85752,0.39232,1.00277,0.91305,0.81245,0.89468,0.60884,1.14703,0.63185,1.12109,0.000247716,0.000247716,0.000247716
45,2235.95,0.82173,0.38079,0.991,0.93365,0.74105,0.88765,0.61243,1.14862,0.6287,1.11395,0.00021471,0.00021471,0.00021471
46,2280.4,0.83029,0.37792,0.99612,0.91762,0.79234,0.89285,0.6193,1.13293,0.62078,1.10364,0.000181703,0.000181703,0.000181703
47,2325.01,0.8083,0.36727,0.9771,0.90728,0.79547,0.89993,0.62673,1.12205,0.5894,1.10269,0.000148696,0.000148696,0.000148696
48,2374.87,0.80611,0.36525,0.97819,0.91033,0.8067,0.91162,0.6235,1.12995,0.58777,1.10308,0.00011569,0.00011569,0.00011569
49,2419.4,0.7909,0.3509,0.96975,0.92018,0.80172,0.90643,0.62446,1.1231,0.58678,1.10067,8.26832e-05,8.26832e-05,8.26832e-05
50,2469.29,0.79187,0.34739,0.97662,0.923,0.80549,0.90035,0.62193,1.12068,0.58214,1.10149,4.96766e-05,4.96766e-05,4.96766e-05
